Time,cpu,mem,gpu,gpu video,gpu enhance
8/21/2023 11:41:12,9.96%,27.979 GB,16.30%,0%,0%
8/21/2023 11:41:14,2.38%,28.090 GB,92.90%,0%,0%
8/21/2023 11:41:16,57.80%,28.175 GB,100%,0%,0%
8/21/2023 11:41:18,16.20%,27.917 GB,100%,0%,0%
8/21/2023 11:41:20,11.00%,28.044 GB,100%,0%,0%
8/21/2023 11:41:22,12.00%,28.040 GB,100%,0%,0%
8/21/2023 11:41:24,11.80%,28.035 GB,100%,0%,0%
8/21/2023 11:41:26,11.00%,28.028 GB,100%,0%,0%
8/21/2023 11:41:28,12.20%,28.026 GB,100%,0%,0%
8/21/2023 11:41:30,13.30%,28.027 GB,100%,0%,0%
8/21/2023 11:41:32,10.90%,28.032 GB,84.90%,0%,0%
8/21/2023 11:41:34,12.80%,28.032 GB,0%,0%,0%
8/21/2023 11:41:36,10.90%,28.030 GB,0.29%,0%,0%
8/21/2023 11:41:38,3.63%,28.026 GB,64.80%,0%,0%
8/21/2023 11:41:40,19.60%,28.204 GB,100%,0%,0%
8/21/2023 11:41:42,54.60%,28.047 GB,100%,0%,0%
8/21/2023 11:41:44,10.70%,27.929 GB,100%,0%,0%
8/21/2023 11:41:46,10.60%,28.014 GB,100%,0%,0%
8/21/2023 11:41:48,10.80%,28.006 GB,100%,0%,0%
8/21/2023 11:41:50,10.90%,28.003 GB,100%,0%,0%
8/21/2023 11:41:52,11.60%,28.002 GB,100%,0%,0%
8/21/2023 11:41:54,13.10%,28.002 GB,100%,0%,0%
8/21/2023 11:41:56,11.10%,28.005 GB,100%,0%,0%
8/21/2023 11:41:58,11.40%,27.998 GB,35.70%,0%,0%
8/21/2023 11:42:00,12.80%,27.990 GB,0.03%,0%,0%
8/21/2023 11:42:02,8.95%,27.988 GB,18.60%,0%,0%
8/21/2023 11:42:04,2.69%,28.196 GB,100%,0%,0%
8/21/2023 11:42:06,60.60%,28.028 GB,100%,0%,0%
8/21/2023 11:42:08,15.30%,27.914 GB,100%,0%,0%
8/21/2023 11:42:10,12.60%,27.994 GB,100%,0%,0%
8/21/2023 11:42:12,11.30%,27.989 GB,100%,0%,0%
8/21/2023 11:42:14,11.40%,27.988 GB,100%,0%,0%
8/21/2023 11:42:16,10.70%,27.989 GB,100%,0%,0%
8/21/2023 11:42:18,10.60%,27.991 GB,100%,0%,0%
8/21/2023 11:42:20,10.60%,27.990 GB,100%,0%,0%
8/21/2023 11:42:22,11.10%,27.989 GB,85.30%,0%,0%
8/21/2023 11:42:24,10.60%,27.988 GB,0%,0%,0%
8/21/2023 11:42:26,10.90%,27.986 GB,0.32%,0%,0%
8/21/2023 11:42:28,3.94%,28.095 GB,71.20%,0%,0%
8/21/2023 11:42:30,19.90%,28.162 GB,100%,0%,0%
8/21/2023 11:42:32,53.00%,27.884 GB,100%,0%,0%
8/21/2023 11:42:34,10.70%,28.024 GB,100%,0%,0%
8/21/2023 11:42:36,12.10%,28.020 GB,100%,0%,0%
8/21/2023 11:42:38,10.30%,28.013 GB,100%,0%,0%
8/21/2023 11:42:40,11.80%,28.011 GB,100%,0%,0%
8/21/2023 11:42:42,11.80%,28.006 GB,100%,0%,0%
8/21/2023 11:42:44,11.70%,28.003 GB,100%,0%,0%
8/21/2023 11:42:46,11.20%,28.006 GB,100%,0%,0%
8/21/2023 11:42:48,11.10%,27.998 GB,31.50%,0%,0%
8/21/2023 11:42:50,10.90%,27.996 GB,0.03%,0%,0%
8/21/2023 11:42:52,8.57%,27.993 GB,20.70%,0%,0%
8/21/2023 11:42:54,3.70%,28.197 GB,93.30%,0%,0%
8/21/2023 11:42:56,62.10%,28.105 GB,100%,0%,0%
8/21/2023 11:42:58,13.00%,27.926 GB,100%,0%,0%
8/21/2023 11:43:00,11.00%,28.017 GB,100%,0%,0%
8/21/2023 11:43:02,10.60%,28.010 GB,100%,0%,0%
8/21/2023 11:43:04,10.90%,28.005 GB,100%,0%,0%
8/21/2023 11:43:06,11.10%,28.002 GB,100%,0%,0%
8/21/2023 11:43:08,11.50%,27.993 GB,100%,0%,0%
8/21/2023 11:43:10,11.70%,27.987 GB,100%,0%,0%
8/21/2023 11:43:12,11.60%,27.990 GB,78.90%,0%,0%
8/21/2023 11:43:14,10.50%,27.992 GB,0%,0%,0%
8/21/2023 11:43:16,11.80%,27.991 GB,0.03%,0%,0%
8/21/2023 11:43:18,4.09%,28.099 GB,76.50%,0%,0%
8/21/2023 11:43:20,63.50%,28.160 GB,100%,0%,0%
8/21/2023 11:43:22,12.80%,27.954 GB,100%,0%,0%
8/21/2023 11:43:24,10.60%,28.055 GB,100%,0%,0%
8/21/2023 11:43:26,11.10%,28.051 GB,100%,0%,0%
8/21/2023 11:43:28,11.00%,28.041 GB,100%,0%,0%
8/21/2023 11:43:30,10.70%,28.041 GB,100%,0%,0%
8/21/2023 11:43:32,10.70%,28.037 GB,100%,0%,0%
8/21/2023 11:43:34,10.80%,28.036 GB,100%,0%,0%
8/21/2023 11:43:36,10.50%,28.035 GB,100%,0%,0%
8/21/2023 11:43:38,11.20%,28.034 GB,27.00%,0%,0%
8/21/2023 11:43:40,11.80%,28.032 GB,0.03%,0%,0%
8/21/2023 11:43:42,3.69%,28.028 GB,19.80%,0%,0%
8/21/2023 11:43:44,23.50%,28.211 GB,93.10%,0%,0%
8/21/2023 11:43:46,53.10%,28.076 GB,100%,0%,0%
8/21/2023 11:43:48,10.60%,27.919 GB,100%,0%,0%
8/21/2023 11:43:50,11.50%,28.007 GB,100%,0%,0%
8/21/2023 11:43:52,11.80%,27.996 GB,100%,0%,0%
8/21/2023 11:43:54,11.20%,27.991 GB,100%,0%,0%
8/21/2023 11:43:56,12.30%,27.991 GB,100%,0%,0%
8/21/2023 11:43:58,12.40%,27.985 GB,100%,0%,0%
8/21/2023 11:44:00,11.00%,27.993 GB,100%,0%,0%
8/21/2023 11:44:02,10.50%,27.991 GB,80.30%,0%,0%
8/21/2023 11:44:04,13.30%,27.989 GB,0%,0%,0%
8/21/2023 11:44:06,10.20%,27.985 GB,0.44%,0%,0%
8/21/2023 11:44:08,3.45%,28.097 GB,51.80%,0%,0%
8/21/2023 11:44:10,63.80%,28.176 GB,100%,0%,0%
8/21/2023 11:44:12,21.70%,27.902 GB,100%,0%,0%
8/21/2023 11:44:14,11.40%,28.009 GB,100%,0%,0%
8/21/2023 11:44:16,10.90%,28.003 GB,100%,0%,0%
8/21/2023 11:44:18,10.80%,27.998 GB,100%,0%,0%
8/21/2023 11:44:20,10.40%,27.997 GB,100%,0%,0%
8/21/2023 11:44:22,11.10%,27.993 GB,100%,0%,0%
8/21/2023 11:44:24,11.30%,27.992 GB,100%,0%,0%
8/21/2023 11:44:26,11.20%,27.987 GB,100%,0%,0%
8/21/2023 11:44:28,11.70%,27.992 GB,44.90%,0%,0%
8/21/2023 11:44:30,11.80%,27.985 GB,0.04%,0%,0%
8/21/2023 11:44:32,4.89%,27.982 GB,7.44%,0%,0%
8/21/2023 11:44:34,14.70%,28.201 GB,100%,0%,0%
8/21/2023 11:44:36,60.70%,28.102 GB,100%,0%,0%
8/21/2023 11:44:38,11.00%,27.921 GB,100%,0%,0%
8/21/2023 11:44:40,13.00%,27.998 GB,100%,0%,0%
8/21/2023 11:44:42,12.70%,27.993 GB,100%,0%,0%
8/21/2023 11:44:44,12.00%,27.995 GB,100%,0%,0%
8/21/2023 11:44:46,12.20%,27.992 GB,100%,0%,0%
8/21/2023 11:44:48,10.60%,27.989 GB,100%,0%,0%
8/21/2023 11:44:50,10.70%,27.994 GB,100%,0%,0%
8/21/2023 11:44:52,10.70%,27.993 GB,99.40%,0%,0%
8/21/2023 11:44:54,11.70%,27.991 GB,0%,0%,0%
8/21/2023 11:44:56,10.20%,27.989 GB,0.30%,0%,0%
8/21/2023 11:44:58,1.94%,28.097 GB,55.50%,0%,0%
8/21/2023 11:45:00,53.40%,28.185 GB,100%,0%,0%
8/21/2023 11:45:02,23.40%,27.963 GB,100%,0%,0%
8/21/2023 11:45:04,11.80%,27.991 GB,100%,0%,0%
8/21/2023 11:45:06,11.20%,27.985 GB,100%,0%,0%
8/21/2023 11:45:08,10.50%,27.974 GB,100%,0%,0%
8/21/2023 11:45:10,12.80%,27.973 GB,100%,0%,0%
8/21/2023 11:45:12,11.70%,27.975 GB,100%,0%,0%
8/21/2023 11:45:14,11.10%,27.977 GB,100%,0%,0%
8/21/2023 11:45:16,11.50%,27.975 GB,100%,0%,0%
8/21/2023 11:45:18,11.60%,27.969 GB,48.60%,0%,0%
8/21/2023 11:45:20,11.00%,27.966 GB,0.04%,0%,0%
8/21/2023 11:45:22,4.68%,27.960 GB,0.26%,0%,0%
8/21/2023 11:45:24,12.50%,28.199 GB,87.00%,0%,0%
8/21/2023 11:45:26,67.40%,28.124 GB,85.90%,0%,0%
8/21/2023 11:45:28,10.70%,27.923 GB,86.40%,0%,0%
8/21/2023 11:45:30,10.80%,28.009 GB,93.00%,0%,0%
