Time,cpu,mem,gpu,gpu video,gpu enhance
9/5/2023 18:28:25,3.84%,29.263 GB,100%,0%,0%
9/5/2023 18:28:25,4.09%,29.263 GB,100%,0%,0%
9/5/2023 18:28:26,3.92%,29.261 GB,100%,0%,0%
9/5/2023 18:28:27,3.92%,29.259 GB,100%,0%,0%
9/5/2023 18:28:29,3.79%,29.259 GB,100%,0%,0%
9/5/2023 18:28:29,4.16%,29.258 GB,100%,0%,0%
9/5/2023 18:28:30,3.75%,29.257 GB,100%,0%,0%
9/5/2023 18:28:31,0.42%,29.526 GB,0%,0%,0%
9/5/2023 18:28:32,0.83%,29.525 GB,0%,0%,0%
9/5/2023 18:28:33,13.60%,29.504 GB,0.33%,0%,0%
9/5/2023 18:28:34,7.96%,29.089 GB,64.90%,0%,0%
9/5/2023 18:28:35,4.00%,29.281 GB,100%,0%,0%
9/5/2023 18:28:36,3.75%,29.278 GB,100%,0%,0%
9/5/2023 18:28:37,3.80%,29.277 GB,100%,0%,0%
9/5/2023 18:28:38,4.12%,29.277 GB,100%,0%,0%
9/5/2023 18:28:39,3.87%,29.276 GB,100%,0%,0%
9/5/2023 18:28:40,3.84%,29.276 GB,100%,0%,0%
9/5/2023 18:28:41,3.79%,29.276 GB,100%,0%,0%
9/5/2023 18:28:42,4.25%,29.276 GB,100%,0%,0%
9/5/2023 18:28:43,4.17%,29.276 GB,100%,0%,0%
9/5/2023 18:28:45,3.92%,29.276 GB,100%,0%,0%
9/5/2023 18:28:45,4.00%,29.276 GB,100%,0%,0%
9/5/2023 18:28:46,3.96%,29.277 GB,100%,0%,0%
9/5/2023 18:28:47,4.00%,29.277 GB,100%,0%,0%
9/5/2023 18:28:48,3.79%,29.280 GB,100%,0%,0%
9/5/2023 18:28:50,3.88%,29.280 GB,100%,0%,0%
9/5/2023 18:28:50,4.00%,29.278 GB,100%,0%,0%
9/5/2023 18:28:52,4.04%,29.277 GB,100%,0%,0%
9/5/2023 18:28:53,3.79%,29.277 GB,100%,0%,0%
9/5/2023 18:28:54,3.83%,29.280 GB,100%,0%,0%
9/5/2023 18:28:55,1.42%,29.279 GB,40.10%,0%,0%
9/5/2023 18:28:56,0.21%,29.526 GB,0%,0%,0%
9/5/2023 18:28:56,2.96%,29.525 GB,0.14%,0%,0%
9/5/2023 18:28:58,17.30%,29.430 GB,14.20%,0%,0%
9/5/2023 18:28:58,3.71%,29.275 GB,100%,0%,0%
9/5/2023 18:29:00,3.92%,29.273 GB,100%,0%,0%
9/5/2023 18:29:01,4.08%,29.270 GB,100%,0%,0%
9/5/2023 18:29:02,3.75%,29.268 GB,100%,0%,0%
9/5/2023 18:29:02,3.88%,29.268 GB,100%,0%,0%
